"surface","prov","n"
"ANTIGONISH, SUBD. B","NS",6556
"CENTRAL YORK","NB",6540
"MACKENZIE COUNTY","AB",6532
"EAST ZORRA-TAVISTOCK","ON",6524
"SPALLUMCHEEN","BC",6521
"SALT SPRING ISLAND","BC",6515
"GREENVIEW NO. 16","AB",6514
"SAINT-AMBROISE-DE-KILDARE","QC",6504
"HEARST","ON",6500
"LAC LA BICHE COUNTY","AB",6494
"CASSELMAN","ON",6490
"VAL-MORIN","QC",6489
"L'ISLET","QC",6487
"ALNWICK/HALDIMAND","ON",6484
"SAINT-ANTONIN","QC",6457
"NEUVILLE","QC",6447
"PICTON","ON",6445
"AUGUSTA","ON",6417
"SAINT-ANSELME","QC",6417
"STELLARTON","NS",6416
"BAY ROBERTS","NL",6402
"PORT ELGIN","ON",6401
"SAINT-AMBROISE","QC",6394
"PORT PERRY","ON",6386
"GRACEFIELD","QC",6385
"COLUMBIA SHUSWAP G","BC",6382
"ORMSTOWN","QC",6379
"NANAIMO B","BC",6378
"TROIS-PISTOLES","QC",6375
"ILE-DE-LAMEQUE","NB",6362
"VICTORIA, SUBD. B","NS",6346
"NEEPAWA","MB",6334
"ALTONA","MB",6332
"INVERNESS, SUBD. A","NS",6322
"DANVILLE","QC",6316
"RITCHOT","MB",6314
"LANARK HIGHLANDS","ON",6306
"SAINT-ETIENNE-DES-GRES","QC",6281
"NEW RICHMOND","QC",6278
"SAINT-MATHIAS-SUR-RICHELIEU","QC",6277
"SAINT-JEAN-PORT-JOLI","QC",6253
"GRAND-BOUCTOUCHE","NB",6246
"IROQUOIS FALLS","ON",6243
"NAPIERVILLE","QC",6241
"PICTOU, SUBD. B","NS",6238
"COLUMBIA SHUSWAP F","BC",6234
"MALAHIDE","ON",6224
"KINDERSLEY","SK",6221
"SUNBURY-YORK SOUTH","NB",6220
"NOMININGUE","QC",6203
"PORT HARDY","BC",6198
"CLARESHOLM","AB",6159
"OKA","QC",6139
"MANDEVILLE","QC",6124
"MINDEN","ON",6122
"NOTRE-DAME-DU-LAUS","QC",6111
"ROSSLAND","BC",6086
"SAINTE-CLAIRE","QC",6078
"EAST KOOTENAY C","BC",6074
"FUNDY ALBERT","NB",6068
"SAINT-ANICET","QC",6064
"WENTWORTH-NORD","QC",6046
"ALBERTON","PE",6036
"BEDFORD","QC",6026
"BLANDFORD-BLENHEIM","ON",6012
"GRENVILLE-SUR-LA-ROUGE","QC",6012
"MACDONALD","MB",6003
"CRABTREE","QC",5991
"SAINT-PASCAL","QC",5943
"ADSTOCK","QC",5930
"CUMBERLAND","BC",5927
"BEAUSEJOUR","MB",5918
"RICHMOND","QC",5914
"CARSTAIRS","AB",5906
"MALARTIC","QC",5903
"PONTIAC","QC",5902
"INVERNESS, SUBD. B","NS",5900
"SAINT-HONORE","QC",5882
"ARRAN-ELDERSLIE","ON",5878
"CRAMAHE","ON",5870
"CARIBOO A","BC",5858
"NEWCASTLE","ON",5848
"SHUNIAH","ON",5826
"KINGS, SUBD. D","NS",5824
"LISTOWEL","ON",5814
"WESTVILLE","NS",5813
"FLIN FLON (PART)","MB",5788
"PINCHER CREEK","AB",5774
"DUNNVILLE","ON",5759
"THUNDER BAY, UNORGANIZED","ON",5758
"DUNHAM","QC",5747
"EASTMAN","QC",5747
"NORTH STORMONT","ON",5746
"PORTNEUF","QC",5738
"CALLANDER","ON",5731
"L'ILE-BIZARD","QC",5721
"BEAMSVILLE","ON",5706
"MADAWASKA VALLEY","ON",5706
"BEAVER COUNTY","AB",5693
"SAINTE-MARGUERITE-DU-LAC-MASSON","QC",5676
"BUTTERNUT VALLEY","NB",5658
"LAC-SUPERIEUR","QC",5655
"SAINT-GABRIEL","QC",5646
"SAINT-HENRI","QC",5640
"PORT HAWKESBURY","NS",5640
"ST. PAUL COUNTY NO. 19","AB",5608
"VIRDEN","MB",5602
"SAINT-QUENTIN","NB",5599
"PRINCETON","BC",5595
"KOOTENAY BOUNDARY E / WEST BOUNDARY","BC",5576
"KLEINBURG","ON",5571
"PICTOU","NS",5566
"SOUTHWEST MIDDLESEX","ON",5552
"HAVRE-SAINT-PIERRE","QC",5548
"HANMER","ON",5542
"MIDDLE SACKVILLE","NS",5542
"BAYHAM","ON",5538
"NIPAWIN","SK",5535
"HUNTINGDON","QC",5531
"CAP-SANTE","QC",5523
"ST. PAUL","AB",5512
"SAINT-DAMIEN","QC",5510
"MARYSTOWN","NL",5478
"SOUTH-WEST OXFORD","ON",5478
"VALCOURT","QC",5475
"LLOYDMINSTER","SK",5467
"HEADINGLEY","MB",5454
"CLERMONT","QC",5442
"NEW GLASGOW","PE",5435
"DEGELIS","QC",5412
"KENT","BC",5400
"DIDSBURY","AB",5377
"WEEDON","QC",5351
"ANGUS","ON",5349
"SAINT-GABRIEL-DE-BRANDON","QC",5341
"LAKE COWICHAN","BC",5328
"FORESTVILLE","QC",5319
"ANNAPOLIS, SUBD. C","NS",5312
"CARIBOO G","BC",5306
"LAC-DES-ECORCES","QC",5304
"CARLETON-SUR-MER","QC",5298
"MACKENZIE","BC",5279
"NORTH MIDDLESEX","ON",5278
"NANAIMO H","BC",5274
"FOOTHILLS","AB",5271
"GORE","QC",5255
"MARMORA AND LAKE","ON",5242
"THURSO","QC",5237
"ALMONTE","ON",5236
"SAINTE-ANNE-DE-BEAUPRE","QC",5229
"MCDOUGALL","ON",5225
"ANNAPOLIS, SUBD. B","NS",5220
"STANLEY","MB",5218
"ELMIRA","ON",5211
"HIGH LEVEL","AB",5203
"CARMAN","MB",5199
"LANTZVILLE","BC",5188
"FERMONT","QC",5186
"PASADENA","NL",5180
"ARCADIA","NB",5160
"SAINT-SULPICE","QC",5139
"PASPEBIAC","QC",5136
"BLIND RIVER","ON",5126
"SAINT-COME-LINIERE","QC",5120
"NORTH FRONTENAC","ON",5116
"CAP-SAINT-IGNACE","QC",5109
"SAINT-MARC-DES-CARRIERES","QC",5097
"STE. ANNE","MB",5090
"CHAMPDORE","NB",5090
"SOUTHWOLD","ON",5088
"SAINT-DONAT-DE-MONTCALM","QC",5077
"SUNDRE","AB",5074
"CHELMSFORD","ON",5073
"ACTON","ON",5061
"SAINTE-MELANIE","QC",5060
"ATHABASCA","AB",5057
"SAINT-THOMAS","QC",5038
"OLIVER PAIPOONGE","ON",5034
"CARDSTON","AB",5033
"TOTTENHAM","ON",5030
"CENTRAL KOOTENAY H","BC",5026
"STURGEON FALLS","ON",5014
"PEACE RIVER C","BC",4990
"RICHMOND, SUBD. A","NS",4988
"SOURIS","PE",4961
"ELKFORD","BC",4957
"SAINT-ANDRE-D'ARGENTEUIL","QC",4953
"BONAVENTURE","QC",4953
"FUNDY-ST. MARTINS","NB",4950
"HOUSTON","BC",4948
"LA MINERVE","QC",4944
"GREATER MADAWASKA","ON",4925
"GREATER MIRAMICHI / GRAND-MIRAMICHI","NB",4924
"SAINT-MATHIEU-DE-BELOEIL","QC",4923
"COLCHESTER, SUBD. A","NS",4922
"SOUTH BRUCE","ON",4918
"HEMMINGFORD","QC",4915
"JUAN DE FUCA (PART 1)","BC",4902
"PERCE","QC",4901
"HAVELOCK-BELMONT-METHUEN","ON",4896
"FORT MACLEOD","AB",4892
"POHENEGAMOOK","QC",4884
"GRANDE-RIVIERE","QC",4883
"SAINTE-LUCE","QC",4883
"HAUT-MADAWASKA","NB",4876
"VERMILION RIVER COUNTY","AB",4874
"O'LEARY","PE",4872
"NEW MARYLAND","NB",4872
"COMPTON","QC",4871
"WEST ELGIN","ON",4868
"LEWISPORTE","NL",4866
"GRAND VALLEY","ON",4856
"BONAVISTA","NL",4849
"NORMANDIN","QC",4842
"FERME-NEUVE","QC",4812
"THE ARCHIPELAGO","ON",4809
"VALLEY WATERS","NB",4800
"BULKLEY-NECHAKO A","BC",4792
"SAINT ANDREWS","NB",4785
"LA BROQUERIE","MB",4782
"SAANICHTON","BC",4759
"KINGS","NB",4758
"COWICHAN VALLEY C","BC",4754
"POWASSAN","ON",4746
"MORRIS","MB",4746
"RED LAKE","ON",4740
"SAINT-MAURICE","QC",4728
"AMHERST","QC",4718
"MULMUR","ON",4716
"BINBROOK","ON",4712
"CHASE","BC",4710
"JASPER","AB",4698
"HANNA","AB",4696
"VILLE-MARIE","QC",4691
"HAY RIVER","NT",4686
"LUCAN BIDDULPH","ON",4684
"BATTLEFORD","SK",4683
"BAIE-D'URFE","QC",4683
"TUMBLER RIDGE","BC",4682
"SAINT-GILLES","QC",4678
"SAINTE-THECLE","QC",4675
"CENTRE HASTINGS","ON",4674
"ASPHODEL-NORWOOD","ON",4670
"MADOC","ON",4651
"AUSTIN","QC",4646
"TSAWWASSEN","BC",4644
"PEMBERTON","BC",4643
"FONTHILL","ON",4638
"MARIA","QC",4627
"NORTH HURON","ON",4624
"NASHWAAK","NB",4620
"GRAND MANAN","NB",4614
"CENTRAL KOOTENAY E","BC",4606
"NORTH OKANAGAN F","BC",4604
"BONNECHERE VALLEY","ON",4592
"LAURIER-STATION","QC",4591
"MARATHON","ON",4583
"TIGNISH","PE",4577
"BLENHEIM","ON",4573
"TEMISCAMING","QC",4569
"GREENSTONE","ON",4566
"SAINTE-CATHERINE-DE-HATLEY","QC",4559
"WINNIPEG BEACH","MB",4552
"ASCOT CORNER","QC",4548
"RIVERE-DU-NORD","NB",4546
"NEW LISKEARD","ON",4543
"PORT DOVER","ON",4534
"BEAUMONT","QC",4531
"SUNSHINE COAST A","BC",4528
"SAINT-DAVID-DE-FALARDEAU","QC",4524
"SAINTE-CROIX","QC",4519
"INVERNESS, SUBD. C","NS",4508
"SAINT-BASILE","QC",4499
"SAINT-JEAN-BAPTISTE","QC",4498
"STIRLING-RAWDON","ON",4498
"CLEARWATER","BC",4495
"HARTLAND","NB",4494
"HOLLAND LANDING","ON",4488
"SAINT-GABRIEL-DE-VALCARTIER","QC",4488
"MCKELLAR","ON",4479
"SAINTE-MADELEINE","QC",4475
"NORTH SHORE","PE",4460
"EMBRUN","ON",4458
"MAGNETAWAN","ON",4446
"OKANAGAN (PART) 1","BC",4438
"ATHENS","ON",4430
"SAINT-ALPHONSE-DE-GRANBY","QC",4423
"AMARANTH","ON",4422
"PENHOLD","AB",4418
"ATIKOKAN","ON",4416
"VULCAN","AB",4405
"SAINTE-BEATRIX","QC",4378
"TRENTON","NS",4374
"SAINT-PROSPER","QC",4360
"EAST FERRIS","ON",4360
"POTTON","QC",4358
"DIAMOND VALLEY","AB",4358
"OKANAGAN-SIMILKAMEEN D","BC",4358
"VALLEE-DES-RIVIERES","NB",4356
"VENISE-EN-QUEBEC","QC",4348
"NEW HAMBURG","ON",4329
"CENTRAL KOOTENAY B","BC",4316
"CUMBERLAND, SUBD. A","NS",4314
"SAINT-MICHEL","QC",4308
"SAINT-PRIME","QC",4305
"SAINT-RAPHAEL","QC",4294
"SCOTT","QC",4290
"ELORA","ON",4282
"KAMLOOPS 1","BC",4282
"BOTWOOD","NL",4281
"COLUMBIA SHUSWAP C","BC",4276
"FOSSAMBAULT-SUR-LE-LAC","QC",4273
"MOUNT HOPE","ON",4266
"KEREMEOS","BC",4258
"COWICHAN VALLEY A","BC",4254
"SAINT-CHRISTOPHE-D'ARTHABASKA","QC",4243
"CHALEUR","NB",4234
"SAINT-ELZEAR","QC",4232
"LACOLLE","QC",4230
"NORTH OKANAGAN C","BC",4228
"CARIBOO F","BC",4228
"RIDGEWAY","ON",4225
"COLUMBIA SHUSWAP A","BC",4220
"BLUE MOUNTAINS","ON",4217
"STOKE","QC",4212
"ST MARYS","ON",4174
"SAINTE-ANNE-DE-SOREL","QC",4173
"HAMMONDS PLAINS","NS",4167
"KENT","NB",4164
"HARRINGTON","QC",4164
"PAPINEAUVILLE","QC",4156
"PEACE RIVER D","BC",4148
"SAINT-GEDEON","QC",4147
"MINNEDOSA","MB",4146
"SPRINGDALE","NL",4140
"SAINT-ELIE-DE-CAXTON","QC",4131
"EASTERN PASSAGE","NS",4126
"SAINT-LEONARD-D'ASTON","QC",4125
"YAMACHICHE","QC",4117
"STE-CATHERINE-DE-LA-J-CARTIER","QC",4111
"BEAVERLODGE","AB",4103
"SOUTHWEST / SUD-OUEST","NB",4100
"MAHONE BAY","NS",4098
"CHAMBORD","QC",4098
"SAINT-ROCH-DE-RICHELIEU","QC",4098
"ROUGEMONT","QC",4098
"SOUTHAMPTON","ON",4096
"THOMPSON-NICOLA P (RIVERS AND THE PEAKS)","BC",4092
"CENTRAL KOOTENAY F","BC",4086
"KING CITY","ON",4085
"CENTRAL OKANAGAN WEST","BC",4084
"ANNAPOLIS, SUBD. D","NS",4084
"SAINT-MARTIN","QC",4073
"MOUNT FOREST","ON",4064
"CAP-CHAT","QC",4063
"SAINT-FERDINAND","QC",4059
"CARIBOO B","BC",4048
"SAINT-VICTOR","QC",4044
"HARVEY","NB",4040
"NACKAWIC-MILLVILLE","NB",4040
"SAINT-ZENON","QC",4039
"MONT-SAINT-GREGOIRE","QC",4038
"DAVELUYVILLE","QC",4031
"SAINT-PAMPHILE","QC",4025
"WESTBANK","BC",4020
"FIVE RIVERS","NB",4018
"THREE RIVERS","NB",4014
"OKANAGAN-SIMILKAMEEN C","BC",4010
"EAST ST PAUL","MB",4005
"CAUSAPSCAL","QC",4004
"RIMBEY","AB",4000
"SAINT-SIMEON","QC",4000
"MISTISSINI","QC",3990
"LUMBY","BC",3981
"CROSSFIELD","AB",3974
"FAIRVIEW","AB",3960
"TISDALE","SK",3958
"ALNWICK","NB",3956
"SAINT-PAUL-D'ABBOTSFORD","QC",3950
"WAWA","ON",3948
"FRENCH RIVER / RIVIERE DES FRANCAIS","ON",3944
"PIERREVILLE","QC",3938
"GREELY","ON",3935
"BURNS LAKE","BC",3929
"SAINT-EPHREM-DE-BEAUCE","QC",3912
"VICTORIA, SUBD. A","NS",3910
"LEBEL-SUR-QUEVILLON","QC",3893
"SAINTE-EMELIE-DE-L'ENERGIE","QC",3891
"SAINT-DAMASE","QC",3888
"SAINT-CHRYSOSTOME","QC",3888
"KENSINGTON","PE",3885
"SAINT-DOMINIQUE","QC",3882
"LA CONCEPTION","QC",3879
"LAMBTON","QC",3878
"SAINT-LOUIS-DE-GONZAGUE","QC",3860
"COWICHAN VALLEY E","BC",3854
"SAINT-PAUL-DE-L'ILE-AUX-NOIX","QC",3849
"HARROW","ON",3849
"SAINT-MATHIEU-DU-PARC","QC",3847
"STRATHCONA D (OYSTER BAY - BUTTLE LAKE)","BC",3846
"WEST RIVER","PE",3838
"FRASER-FORT GEORGE D","BC",3832
"KITIMAT-STIKINE E","BC",3826
"CARIBOO E","BC",3824
"MACAMIC","QC",3822
"PORTUGAL COVE-ST PHILIPS","NL",3820
"MATTAWA","ON",3816
"METCHOSIN","BC",3814
"ESTERHAZY","SK",3809
"BERWICK","NS",3804
"CARP","ON",3800
"COLUMBIA SHUSWAP D","BC",3798
"ROCKWOOD","MB",3794
"WOODLANDS COUNTY","AB",3792
"CHETWYND","BC",3791
"NOTRE-DAME-DE-LA-MERCI","QC",3789
"SAINTE-VICTOIRE-DE-SOREL","QC",3788
"MASKINONGE","QC",3785
"SAINT-LIBOIRE","QC",3774
"HINCHINBROOKE","QC",3763
"DELHI","ON",3763
"NOTRE-DAME-DE-LOURDES","QC",3762
"CORUNNA","ON",3761
"SAINT-JOSEPH-DE-COLERAINE","QC",3749
"NANTON","AB",3740
"SAINTE-ANNE-DE-LA-PERADE","QC",3738
"ST ANDREWS","MB",3734
"BOIS-JOLI","NB",3732
"SUNSHINE COAST E","BC",3732
"FENELON FALLS","ON",3731
"SUNSHINE COAST D","BC",3718
"ST. MARY'S","NS",3718
"SAINT-CHARLES-DE-BELLECHASSE","QC",3715
"LAC-AUX-SABLES","QC",3713
"HATLEY","QC",3709
"AMHERSTVIEW","ON",3702
"ANGE-GARDIEN","QC",3681
"SAINT-BERNARD","QC",3662
"DUTTON/DUNWICH","ON",3662
"MOOSOMIN","SK",3660
"COLDWATER","ON",3659
"NEEBING","ON",3656
"CALEDON EAST","ON",3655
"SMITHVILLE","ON",3652
"WHITE CITY","SK",3643
"MESSINES","QC",3638
"ATHABASCA COUNTY","AB",3636
"FLAGSTAFF COUNTY","AB",3628
"GRIMSHAW","AB",3616
"HIGH PRAIRIE","AB",3608
"WENDAKE","QC",3605
"PARRY SOUND, UNORGANIZED, CENTRE PART","ON",3600
"TYENDINAGA","ON",3598
"NORTH ALGONA WILBERFORCE","ON",3596
"LA PRESENTATION","QC",3589
"LILLOOET","BC",3585
"KNEEHILL COUNTY","AB",3578
"RIVIERE-BEAUDETTE","QC",3576
"HAGERSVILLE","ON",3570
"NEWELL COUNTY","AB",3562
"SAINT-BARTHELEMY","QC",3559
"LERY","QC",3553
"LOGAN LAKE","BC",3551
"NORTHERN ROCKIES","BC",3550
"POINT EDWARD","ON",3550
"BRISTOL","QC",3545
"CAPLAN","QC",3543
"WICKHAM","QC",3525
"PORT MCNEILL","BC",3525
"WEST ST PAUL","MB",3524
"SUNSHINE COAST B","BC",3524
"OKANAGAN-SIMILKAMEEN H","BC",3516
"NANOOSE BAY","BC",3502
"COUNTY OF GRANDE PRAIRIE NO. 1","AB",3496
"DESERONTO","ON",3495
"MASHTEUIATSH","QC",3486
"SAINT-FULGENCE","QC",3480
"NORTHWEST / NORD-OUEST","NB",3480
"SAINT-FRANCOIS-DU-LAC","QC",3478
"SAINT-UBALDE","QC",3474
"ENTRELACS","QC",3472
"CLINTON","ON",3464
"SAINT-DENIS-SUR-RICHELIEU","QC",3447
"SAINT-DAMIEN-DE-BUCKLAND","QC",3444
"ROCKWOOD","ON",3439
"FRASER-FORT GEORGE A","BC",3438
"THREE HILLS","AB",3438
"L'ASCENSION-DE-NOTRE-SEIGNEUR","QC",3437
"VALLEE-JONCTION","QC",3433
"MONTAGUE","ON",3430
"SAINT-POLYCARPE","QC",3429
"RICHMOND","ON",3429
"MAPLE CREEK","SK",3417
"BULKLEY-NECHAKO F","BC",3416
"GARSON","ON",3411
"ADDINGTON HIGHLANDS","ON",3404
"CHANNEL-PORT AUX BASQUES","NL",3404
"HANNON","ON",3404
"TOBIQUE VALLEY","NB",3402
"SACKVILLE","NB",3396
"HOLYROOD","NL",3391
"SAINTE-LUCIE-DES-LAURENTIDES","QC",3389
"ROSETOWN","SK",3389
"BRIGHAM","QC",3386
"SAINT-ALEXANDRE-DE-KAMOURASKA","QC",3386
"BARRAUTE","QC",3385
"GRAND BANK","NL",3381
"SAINT-IGNACE-DE-LOYOLA","QC",3380
"COALHURST","AB",3377
"EAST BROUGHTON","QC",3363
"PORT CARLING","ON",3362
"BIG LAKES COUNTY","AB",3352
"CACOUNA","QC",3350
"VICTORIA BEACH","MB",3346
"WATERVILLE","QC",3345
"HARBOUR GRACE","NL",3343
"LIVELY","ON",3340
"HORTON","ON",3333
"LES ESCOUMINS","QC",3331
"DUDSWELL","QC",3324
"CENTRAL OKANAGAN","BC",3324
"RIPON","QC",3323
"SAINTE-MARCELLINE-DE-KILDARE","QC",3318
"MIDDLETON","NS",3317
"SAINTE-BARBE","QC",3310
"LA GUADELOUPE","QC",3310
"SAINT-FABIEN","QC",3310
"VAL CARON","ON",3309
"CENTRAL KOOTENAY J","BC",3308
"NOUVELLE-ARCADIE","NB",3302
"RICHMOND, SUBD. C","NS",3296
"LAKELAND RIDGES","NB",3292
"FRUITVALE","BC",3288
"WILLOW CREEK NO. 26","AB",3286
"DELEAGE","QC",3286
"ASSINIBOIA","SK",3282
"SHAWVILLE","QC",3279
"KEARNEY","ON",3267
"GRENVILLE","QC",3261
"GIBBONS","AB",3260
"KOOTENAY BOUNDARY D / RURAL GRAND FORKS","BC",3260
"MELANCTHON","ON",3257
"SAINT-STANISLAS-DE-KOSTKA","QC",3246
"NAKUSP","BC",3246
"SAINT-ESPRIT","QC",3241
"SAINTE-PERPETUE","QC",3240
"COWICHAN VALLEY D","BC",3236
"LEMOYNE","QC",3233
"SAINT-GEDEON-DE-BEAUCE","QC",3231
"RADIUM HOT SPRINGS","BC",3224
"CAMPBELLFORD","ON",3223
"COBBLE HILL","BC",3218
"TOFINO","BC",3216
"ALBANEL","QC",3213
"ST PAUL","AB",3210
"HARRISON HOT SPRINGS","BC",3205
"BISHOP'S FALLS","NL",3188
"KENORA, UNORGANIZED","ON",3186
"NEW WATERFORD","NS",3180
"SABLES-SPANISH RIVERS","ON",3180
"TIMBERLEA","NS",3178
"FRASER-FORT GEORGE C","BC",3170
"KILLALOE, HAGARTY AND RICHARDS","ON",3170
"KITIMAT-STIKINE C (PART 1)","BC",3162
"CANORA","SK",3160
"LAC-SIMON","QC",3150
"TWILLINGATE","NL",3150
"OTTER LAKE","QC",3148
"UCLUELET","BC",3146
"MARKDALE","ON",3139
"BELFAST","PE",3136
"PERRY","ON",3130
"UPTON","QC",3129
"MARMORA","ON",3122
"MANITOUWADGE","ON",3116
"L'ANSE-SAINT-JEAN","QC",3116
"MILLE-ISLES","QC",3114
"PLACENTIA","NL",3111
"KEDGWICK","NB",3110
"LA RONGE","SK",3109
"CHISASIBI","QC",3108
"KILLARNEY - TURTLE MOUNTAIN","MB",3104
"SAINT-CUTHBERT","QC",3097
"AGASSIZ","BC",3089
"SAINT-LUCIEN","QC",3082
"AYR","ON",3078
"DORCHESTER","ON",3075
"UNITY","SK",3072
"LES EBOULEMENTS","QC",3072
"NORTH SYDNEY","NS",3072
"BRENTWOOD BAY","BC",3068
"YAMASKA","QC",3065
"BIGGAR","SK",3063
"EAST HAWKESBURY","ON",3060
"NOTRE-DAME-DU-BON-CONSEIL","QC",3060
"NEW LONDON","PE",3059
"BOW ISLAND","AB",3050
"THOMPSON-NICOLA L (GRASSLANDS)","BC",3050
"CHAMPLAIN","QC",3048
"KINKORA","PE",3045
"SAYABEC","QC",3044
"MONTPELLIER","QC",3038
"SYDNEY MINES","NS",3036
"STRAIT SHORES","NB",3032
"WARWICK","ON",3032
"BEAVERTON","ON",3031
"BONFIELD","ON",3028
"STIRLING","ON",3027
"OUTLOOK","SK",3025
"CHEMAINUS","BC",3016
"SHAUNAVON","SK",3012
"LATERRIERE","QC",3012
"GRAND-SAULT/GRAND FALLS","NB",3011
"MILLET","AB",3010
"BEAVER BANK","NS",3008
"EAST GARAFRAXA","ON",3005
"ROBLIN","MB",3005
"WESTERN VALLEY / VALLEE-DE-L'OUEST","NB",3002
"LAC-BOUCHETTE","QC",2998
"SAINT-ULRIC","QC",2994
"SAINT-OURS","QC",2994
"FLIN FLON","MB",2986
"SAINT-LIGUORI","QC",2979
"PROVOST","AB",2978
"SAINT-MALACHIE","QC",2972
"MOUNT ALBERT","ON",2969
"GABRIOLA","BC",2966
"SUTTON WEST","ON",2965
"CARLING","ON",2958
"SAINT-HONORE-DE-CHICOUTIMI","QC",2954
"NOUVELLE","QC",2947
"PETITE-RIVIERE-SAINT-FRANCOIS","QC",2946
"SAINT-GERVAIS","QC",2945
"SEXSMITH","AB",2941
"SOUTHERN VICTORIA","NB",2940
"STRATFORD","QC",2936
"ARDROSSAN","AB",2932
"POINTE-LEBEL","QC",2929
"SAINT-ZACHARIE","QC",2924
"CARBERRY","MB",2923
"BOLTON-EST","QC",2920
"BERTHIER-SUR-MER","QC",2919
"SAINT-NARCISSE","QC",2919
"TRACADIE-SHEILA","NB",2918
"SAINT-JOSEPH-DE-SOREL","QC",2916
"STAYNER","ON",2911
"KINGSEY FALLS","QC",2906
"NOTRE-DAME-DES-PINS","QC",2903
"DUHAMEL","QC",2901
"WELLINGTON","PE",2899
"BRECHIN","ON",2898
"NOTRE-DAME-DES-BOIS","QC",2898
"SAINT-ANACLET-DE-LESSARD","QC",2898
"SAINT-MICHEL-DE-BELLECHASSE","QC",2897
"CARIBOO D","BC",2892
"SAINT-BLAISE-SUR-RICHELIEU","QC",2892
"FRONTENAC","QC",2890
"DAWSON","YT",2890
"NORTH OKANAGAN B","BC",2888
"SAINT-PLACIDE","QC",2887
"BURIN","NL",2881
"CENTRAL KOOTENAY A","BC",2878
"MATAGAMI","QC",2873
"BIBLE HILL","NS",2873
"INDIAN HEAD","SK",2873
"SUNSHINE COAST F","BC",2872
"MERRICKVILLE-WOLFORD","ON",2868
"SAINTE-JUSTINE","QC",2868
"FRANKFORD","ON",2867
"SAINT-TITE-DES-CAPS","QC",2866
"WHITESTONE","ON",2862
"WAINWRIGHT NO. 61","AB",2862
"SAINTE-CECILE-DE-MILTON","QC",2861
"LAC-SAINTE-MARIE","QC",2841
"SAINT-AUBERT","QC",2837
"CENTRAL MANITOULIN","ON",2836
"PERTH SOUTH","ON",2832
"STE-MARGUERITE-DU-LAC-MASSON","QC",2827
"SHAWNIGAN LAKE","BC",2826
"SAINT-ANTOINE-DE-TILLY","QC",2824
"SAINT-MARC-SUR-RICHELIEU","QC",2822
"SAINT-HENRI-DE-LEVIS","QC",2817
"CHAPLEAU","ON",2816
"LISTUGUJ","QC",2816
"NORTHEASTERN MANITOULIN AND THE ISLANDS","ON",2814
"SAINTE-FELICITE","QC",2812
"BARRIERE","BC",2802
"LAURENTIAN HILLS","ON",2802
"FORT ST. JAMES","BC",2799
"SAINTE-CLOTILDE-DE-HORTON","QC",2799
"EXETER","ON",2798
"MISCOUCHE","PE",2787
"100 MILE HOUSE","BC",2786
"KAZABAZUA","QC",2776
"PORT-DANIEL-GASCONS","QC",2772
"CHUTE-SAINT-PHILIPPE","QC",2769
"LA MACAZA","QC",2764
"VAL-DES-BOIS","QC",2762
"KOMOKA","ON",2761
"ALBERNI-CLAYOQUOT E","BC",2760
"SAINT-PAULIN","QC",2759
"LOW","QC",2758
"HOWICK","ON",2758
"KUUJJUAQ","QC",2757
"GOULDS","NL",2757
"ESKASONI 3","NS",2752
"OKANAGAN-SIMILKAMEEN G","BC",2748
"SAINT-BENOIT-LABRE","QC",2747
"LANTIER","QC",2746
"HAVELOCK","ON",2742
"LAROUCHE","QC",2741
"MORELL","PE",2738
"NIPISSING","ON",2736
"MITCHELL","ON",2733
"PILOT BUTTE","SK",2727
"RHINELAND","MB",2724
"GLOVERTOWN","NL",2723
"FALL RIVER","NS",2720
"ALEXANDRIA","ON",2720
"SAINTE-HELENE-DE-BAGOT","QC",2715
"PEACE RIVER B","BC",2714
"MORRIS-TURNBERRY","ON",2708
"WALKERTON","ON",2704
"SADDLE HILLS COUNTY","AB",2701
"ALBERNI-CLAYOQUOT D","BC",2688
"BEAULAC-GARTHBY","QC",2684
"RICHMOND, SUBD. B","NS",2680
"ROXTON FALLS","QC",2679
"WATERFORD","ON",2674
"LYSTER","QC",2673
"ALBERTA BEACH","AB",2668
"BELLEDUNE","NB",2661
"LAKEFIELD","ON",2658
"BLAIRMORE","AB",2657
"NOTRE-DAME-DES-NEIGES","QC",2657
"SAINT-JACQUES-LE-MINEUR","QC",2655
"NOTRE-DAME-DE-PONTMAIN","QC",2655
"RACINE","QC",2652
"NOYAN","QC",2651
"SAINT-JEAN-DE-DIEU","QC",2649
"REDWATER","AB",2649
"AYER'S CLIFF","QC",2644
"CALMAR","AB",2644
"WYNYARD","SK",2641
"FRONT OF YONGE","ON",2638
"WEMBLEY","AB",2635
"GRAND BEND","ON",2635
"TZEACHTEN 13","BC",2632
"SUN PEAKS MOUNTAIN","BC",2632
"SAINT-CASIMIR","QC",2631
"BOBCAYGEON","ON",2625
"TERRASSE-VAUDREUIL","QC",2622
"NEW MINAS","NS",2619
"ENGLEHART","ON",2619
"NORTH OKANAGAN D","BC",2616
"SAINTE-MARIE-MADELEINE","QC",2598
"THESSALON","ON",2589
"DESCHAMBAULT-GRONDINES","QC",2588
"KIPPENS","NL",2587
"WATROUS","SK",2585
"VAL-DES-LACS","QC",2583
"BARRYS BAY","ON",2583
"EAST RIVER, PART 1","PE",2580
"LAMONT COUNTY","AB",2578
"SAINT-ROBERT","QC",2577
